DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
15/04/2015,588.32,590.78,592.45,587.21,34781940
16/04/2015,593.91,595.09,597.01,592.84,38170360
17/04/2015,595.43,599.12,602.83,595.43,46620450
20/04/2015,599.66,595.82,599.89,593.96,22263060
21/04/2015,595.1,593.67,598.24,593.67,32462890
22/04/2015,594.89,594,597.4,593.99,26928180
23/04/2015,594.13,592.71,596.85,589.61,28110475
24/04/2015,594.3,596.1,596.93,593.03,19418650
27/04/2015,599.99,593.15,600.36,593.15,21521860
4/5/2015,589.54,576.52,593.95,575.16,44662226
5/5/2015,576.34,585.45,585.45,571.07,53614028
6/5/2015,585.64,579.39,585.64,578.89,32496318
7/5/2015,578.84,582.4,584.45,577.62,22656850
8/5/2015,581.87,582.91,586.21,581.35,27553400
11/5/2015,582.99,579.41,585.88,579.41,61514344
12/5/2015,580.11,571,580.27,570.11,33445097
13/05/2015,572.33,569.28,573.24,565.11,38296050
14/05/2015,568.77,569.89,570.66,567.28,25416670
15/05/2015,569.39,561.87,570.58,561.87,27175310
18/05/2015,559.99,552.9,560.96,552.87,49470490
19/05/2015,552.46,556.44,556.92,552.46,35127225
20/05/2015,556.99,572.34,572.34,556.99,58433910
21/05/2015,574.5,578.64,578.64,570.49,58828556
22/05/2015,577.86,586.58,586.58,574.6,49160080
25/05/2015,585.08,588.36,589.18,582.45,45173740
26/05/2015,588.5,591.13,594.3,587.77,56984460
27/05/2015,589.31,589.82,592.28,587.96,48777660
28/05/2015,589.06,594.27,599.22,588.19,70051560
29/05/2015,594.34,589.32,597.08,588.15,60265880
1/6/2015,590.44,593.61,597.2,590.13,51516110
2/6/2015,593.34,588.63,596.96,588.63,53552304
3/6/2015,587.59,585.6,591.82,585.42,68417670
4/6/2015,586.82,587.48,590.42,586.18,45383228
5/6/2015,589.16,592.22,593.95,585.86,65705270
8/6/2015,592.22,594.51,599.19,592.22,88890014
9/6/2015,593.56,593.36,599.44,591.9,69897660
10/6/2015,593.6,595.06,597.3,590.69,57043775
11/6/2015,598.47,601.4,602.96,597.27,81156790
12/6/2015,602.3,604.29,604.63,600.03,67466970
15/06/2015,605.47,604.53,606.8,601.88,78597710
16/06/2015,605.8,600.92,607.6,600.92,80508135
17/06/2015,599.52,598.25,603.62,595.35,59232600
18/06/2015,598.58,600.45,602.55,598.58,48173010
19/06/2015,603.43,603.26,606.82,601.09,132321640
22/06/2015,608,615.1,615.19,607.64,94822531
23/06/2015,614.86,614.42,617.35,612.7,63822110
24/06/2015,612.66,610.73,615.34,610.11,65710616
25/06/2015,610.49,609.49,611.4,606.18,47466360
26/06/2015,606.76,608.92,617.82,606.76,85781415
29/06/2015,608.75,620.22,620.22,608.75,61655895
30/06/2015,616.19,622.43,626.86,616.19,69063047
1/7/2015,624.36,622.91,624.97,617.57,51768509
2/7/2015,622.57,633.28,633.28,621.79,54655390
3/7/2015,635.89,639.87,639.87,635.34,68857340
6/7/2015,643.19,649.54,649.54,642.35,70037880
7/7/2015,647.83,653.27,656.46,644.74,70769000
8/7/2015,652.98,645.67,655.9,640.61,95709811
9/7/2015,638.89,646.58,648.91,635.73,58274548
10/7/2015,651,648.73,652.29,647.2,75448701
13/07/2015,652.4,652.28,655.5,648.2,56491900
14/07/2015,653.67,658.28,658.51,648.89,61007600
15/07/2015,658.81,651.45,661.97,651.45,50253430
16/07/2015,647.99,649.06,652.55,644.13,53169440
17/07/2015,649.24,651.03,653.18,648.66,44063040
20/07/2015,646.69,644.19,646.81,639.9,42903940
21/07/2015,643.83,641.45,647.03,636.91,37899050
22/07/2015,640.42,655.06,655.11,639.66,47490826
23/07/2015,656.53,655.74,662.05,655.17,47847290
24/07/2015,657.47,657.97,661.15,653.95,45346655
27/07/2015,658.63,665.66,667.17,658.16,57498100
28/07/2015,666.01,659.6,668.8,659.6,74932280
29/07/2015,659.53,651.21,662.57,651.21,55447190
30/07/2015,651.35,651.7,652.74,648.12,40471490
31/07/2015,653.03,647.36,654.56,647.36,42971910
3/8/2015,642.46,636.92,642.61,632.93,66788720
4/8/2015,637.2,631.27,638.14,631.27,33725180
5/8/2015,632.89,639.33,639.33,632.89,40522756
6/8/2015,639.96,633.53,640.52,632.97,41397030
7/8/2015,635,638.4,638.75,631.97,39741280
10/8/2015,637.58,649.99,649.99,637.58,37035910
11/8/2015,646.63,643.42,648.87,642.28,58427216
12/8/2015,639.7,632.9,641.12,630.99,46752290
13/08/2015,632.1,622.83,632.1,619.1,57536164
14/08/2015,621.34,618.94,625.84,615.55,41633300
17/08/2015,618.99,607.44,621.01,604.67,52452880
18/08/2015,605.42,611.8,611.8,604.7,44606730
19/08/2015,610,608.91,611.63,600.69,43159660
20/08/2015,606.66,598.22,609.72,597.46,48728215
21/08/2015,589.51,587.83,591.32,572.16,93320490
24/08/2015,580.86,558.92,580.86,552.23,89493910
25/08/2015,544.1,561,567.56,544.1,75509417
26/08/2015,561.17,574.88,577.15,561.17,62972170
27/08/2015,579.74,581.51,583.7,577.88,57046610
